A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Estatistica Aplicada e Biometria;Mais de 12 anos;5;4;5;4;4;3;4;5;5;5;4;5;5;5;5;4;4;4;3;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Que todos os orientadores deveriam ter este interesse em comum;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;4;Nao;3;0;;
Economia Aplicada;Entre 4 e 12 anos;4;3;Sem condicoes de avaliar;3;3;3;4;4;4;5;5;4;4;2;2;4;4;4;4;4;4;5;Sim;5;Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais docentes atuando em pesquisa. Mais publicacoes em revistas de impacto.;Nao;;;Nao;Nao;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;2;Sim;5;5;;
Engenharia Agricola;Mais de 12 anos;5;5;5;4;4;4;4;5;5;5;5;4;4;4;4;4;4;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Estabelecer metas e prioridades de pesquisas que venham a solucionar problemas especificos de acordo com as demandas captadas junto à sociedade. A universidade deve atuar, na area de pesquisa, atendendo prioritariamente as necessidades em cada a linha de pesquisa que solucione problemas regionais, posteriormente pesquisas basicas de interesse de grupos de pesquisadores.;Sim;Sim;Sim;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Nao;2;2;;
Ciencia e Tec. Alimentos;Mais de 12 anos;5;5;4;4;3;3;4;4;3;4;2;2;5;4;4;4;4;5;5;3;3;5;Nao;;Empresas, Outros Pesquisadores;Nao;;Nao;;;Nao;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;2;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Sim;1;0;;
Ecologia;Menos de 4 anos;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;4;4;4;3;4;3;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior integracao entre os docentes;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento nacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Sim;3;2;;
Economia Aplicada;Menos de 4 anos;3;3;1;2;2;Sem condicoes de avaliar;3;5;4;4;4;4;3;3;3;2;2;3;3;4;5;3;Nao;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Diminuir os demais exigencias do tempo dos professores.;Nao;;;Nao;;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Nenhuma dos impactos listados;3;;5;4;Sim;5;5;O nosso programa faz muita pesquisa para informar politicas publicas, mas faltou este alternativo na questao sobre isso.;
Botânica;Entre 4 e 12 anos;4;4;5;4;4;2;5;4;5;5;5;5;5;4;4;3;3;4;4;4;4;4;Sim;5;Sociedade, Agencias Governamentais;Nao, mas gostaria.;Melhor treinamento em escrita de artigos cienticos e divulgacao dos mesmo para o publico nao cientifico.;Nao;;;Nao;;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;4;Sim;5;5;;
Ciencias da Saude;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;3;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;5;Sem condicoes de avaliar;5;4;4;3;3;3;4;4;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento regional, Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;1;;1;1;Nao;3;2;;
Ciencia da Computacao;Entre 4 e 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;3;3;Sem condicoes de avaliar;5;4;4;3;5;4;5;4;3;3;3;5;4;3;4;5;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;;Nao;;;Nao;Nao;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;4;Nao;4;4;;
Ciencia da Computacao;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;4;3;4;Nao;;Sociedade, Empresas, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Interacao com a sociedade e empresas da regiao para desenvolvimento de novas solucoes para o mercado.;Sim;Sim;Nao;Sim;Sim, em um evento local;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;5;;4;5;Nao;5;5;;
Fitotecnia;Mais de 12 anos;4;4;4;5;4;3;4;5;5;5;5;5;5;4;3;3;3;5;5;5;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Maior apoio a construcao de laboratorios;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;3;Sim;3;3;;
Microbiologia Agricola;Entre 4 e 12 anos;4;4;3;4;4;4;4;4;4;5;4;4;5;4;4;3;3;5;4;4;4;4;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior apoio financeiro para a publicacao de artigos no formato open acess ;Sim;Sim;Sim;Nao;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;4;4;Sim;4;4;;Gostaria de sugerir que a PPG articule com a Pro-reitoria de ensino a sincronizacao dos calendarios da graduacao e pos-graduacao. Sugiro reforcar a divulgacao de projetos pesquisa em rede para que os orientadores de todos os programas de pos-graduacao sejam devidamente informados.  Essa comunicacao pode e deve ser aperfeicoada.  
Engenharia Civil;Mais de 12 anos;4;3;4;3;3;3;5;4;3;4;4;4;5;4;4;3;3;4;3;5;3;4;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;4;Nao;5;5;;
Ciencia da Nutricao;Entre 4 e 12 anos;5;4;Sem condicoes de avaliar;4;4;3;5;5;5;5;5;5;5;4;4;4;5;4;4;5;4;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, a agencias de fomento governamentais e estrangeiras;Maior apoio para manutencao dos Laboratorios e equipamentos, disponibilidade tecnicos qualificados e recurso para publicacoes open acess;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Sim;3;3;Nossa Programa esta entre os tres melhores do Brasil, os unicos com nota 6 e, ter o apoio da UFV para alcancarmos a nota 7 e fundamental.;
Engenharia Agricola;Mais de 12 anos;5;5;5;4;4;1;5;4;5;5;5;5;5;5;5;4;4;4;5;5;5;5;Sim;5;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Atrair estudantes com melhor formacao e estudantes de fora do pais, ambos de primeira linha.;Nao;;;Sim;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;3;;5;4;Sim;5;5;;
Fitotecnia;Mais de 12 anos;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Maior investimento em infra-estrutura, pois nem sempre por meio de recursos de projetos e possivel adquirir equipamentos mais modernos e sofisticados.;Sim;Sim;Nao;Sim;Sim, em um evento regional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;4;Nao;3;3;;
Geografia;Menos de 4 anos;5;5;3;4;5;4;5;5;5;5;4;4;5;4;3;3;4;4;2;5;5;5;Sim;5;Sociedade, Agencias Governamentais, Movimentos Sociais;Sim, perante orgao publicos e agencia de fomento;engajamento em redes de pesquisa consolidadas;Nao;;;Sim;Nao;Sim, em um evento regional, Sim, em um evento nacional;5;Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;2;Nao;4;4;;
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;5;1;5;5;1;5;2;1;5;1;1;5;5;3;Sem condicoes de avaliar;Sem condicoes de avaliar;1;2;2;2;2;Nao;;Sociedade;Nao;;Sim;Nao;Nao;Nao;Nao;Sim, em um evento regional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos;0;Nao;;;Nao;3;0;;
Botânica;Mais de 12 anos;5;5;4;5;5;4;5;4;5;5;5;5;5;4;4;5;4;4;4;5;3;5;Sim;5;Sociedade;Sim, junto a agencias de fomento governamentais;Precisa de mais recursos para trabalhos de campo, como diarias para os pesquisadores e alunos envolvidos. Por vezes, os trabalhos ficam limitados a analises em laboratorio e em casa de vegetacao por falta de aporte nas viagens de campo. ;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;3;4;Sim;3;3;;
Matematica;Entre 4 e 12 anos;4;4;3;4;4;4;5;5;5;5;5;5;5;4;4;4;3;4;3;3;3;3;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Sim;Sim;Nao;Nao;Nao;Nao;Sim, em um evento regional;2;Avanco cientifico;3;;3;4;Nao;3;4;;
Biologia Celular e Estrutural;Mais de 12 anos;4;4;4;3;3;1;4;4;5;5;5;5;5;5;5;4;4;3;3;3;2;4;Sim;4;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Elevada producao cientifica e de qualidade. Maior divulgacao junto à sociedade.;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;2;2;Nao;3;0;;
Solos e Nutricao de Plantas;Entre 4 e 12 anos;5;5;4;5;4;5;5;5;5;5;5;4;5;5;4;3;3;4;3;5;5;5;Sim;5;Sociedade, Empresas;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Nao;Nao;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;3;4;Nao;2;2;;
Engenharia Civil;Entre 4 e 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;3;4;4;3;4;5;5;5;4;4;4;4;4;2;2;3;3;3;4;4;Sim;4;Sociedade, Empresas;Sim, junto a empresas interessadas nos resultados da pesquisa;Melhor suporte institucional na traducao de artigos para a lingua inglesa;Nao;;;Sim;Nao;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos;2;;3;3;Nao;1;0;;
Geografia;Menos de 4 anos;4;3;4;4;4;3;5;5;5;5;4;4;5;4;4;4;3;4;4;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a gencias de fomento e instituicoes privadas;Maior numero de bolsas e apoio a jovens pesquisadores.;Nao;;;Sim;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local, Avanco cientifico;1;;4;2;Sim;4;5;Por ser jovem , o programa precisa apostar em inovacao.;Criem editais de bolsas de produtividade ou de apoio a jovens pesquisadores. Sou prof ha dois anos e apesar de publicar bem, nao consigo competir com professores antigos da casa por recurso em editais.
Medicina Veterinaria;Entre 4 e 12 anos;4;4;3;4;3;3;4;4;5;5;5;5;4;4;4;4;4;4;4;4;3;4;Sim;4;Sociedade;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Sim;Nao;Nao;Nao;Sim, em um evento nacional;Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;4;4;Nao;3;3;;
Engenharia Civil;Entre 4 e 12 anos;4;3;3;3;3;3;4;3;4;3;4;3;4;4;3;3;3;4;4;3;3;3;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a prefeituras municipais;Melhor infraestrutura de laboratorio e fomentar intercâmbios com centros de pesquisa estrangeiros.;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;2;;3;3;Nao;3;2;e preciso estimular as parcerias com Centros de pesquisa estrangeiros e iniciar a oferta de disciplinas em ingles.;Instituir acoes que estimulem os Programas de Pos-Graduacao a efetivarem convenios com instituicoes estrangeiras de pesquisa e ao oferecimento de disciplinas em ingles.
Ciencia e Tec. Alimentos;Menos de 4 anos;4;4;2;4;4;2;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Mais bolsas de pesquisa para mestrandos e doutorandos, mais recursos para compra de insumos, manutencao e compras de equipamentos, auxilio para participacao de congressos internacionais, principalmente para aqueles orientadores que nao recebem bolsa produtividade.;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Sim;2;0;;
Solos e Nutricao de Plantas;Menos de 4 anos;5;4;4;5;4;5;5;5;5;5;5;5;4;4;4;4;4;4;3;4;3;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior cooperacao com instituicoes estrangeiras e estabelecimento de parcerias;Sim;Nao;Nao;Nao;Nao;Sim, em um evento nacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;5;Nao;5;5;;
Ciencia Florestal;Mais de 12 anos;5;4;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;4;4;4;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Divulgacao em orgaos internacionais. ;Sim;Sim;Sim;Sim;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;4;3;Nao;4;4;;
Arquitetura e Urbanismo;Entre 4 e 12 anos;Sem condicoes de avaliar;4;2;3;4;3;5;4;4;3;4;3;3;4;3;3;3;4;3;4;3;4;Sim;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Implementar mais pesquisas aplicadas (praticas).;Nao;;;Sim;Sim, em um evento local;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Nao;3;2;;
Bioquimica Aplicada;Menos de 4 anos;4;4;4;4;4;3;5;4;4;4;4;4;4;4;4;3;3;3;3;4;4;4;Sim;4;Sociedade, Empresas;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento regional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos;4;;3;4;Nao;3;1;;
Ecologia;Menos de 4 anos;5;5;5;5;5;5;5;5;5;4;5;4;5;4;4;4;1;5;5;4;3;5;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais;Gostaria de marcar 3 opcoes pq nao sao excludentes: junto a empresas interessadas e agencias de apoio a pesquisa ;Maior conscientizacao dos estudantes e professores sobre essa necessidade, e estrategias para alcanca-la;Nao;;;Nao;Nao;Nao;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;4;Sim;5;5;;
Botânica;Entre 4 e 12 anos;5;5;5;5;4;4;5;4;5;5;5;5;4;5;5;4;3;4;3;4;4;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Maior investimento publico em pesquisas de biodiversidade nativa da regiao;Sim;Nao;Nao;Nao;Sim, em um evento regional;Sim, em um evento regional, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;3;4;;
Ciencia Florestal;Mais de 12 anos;3;4;5;4;4;4;5;5;5;5;4;4;5;4;3;2;1;5;3;4;5;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;;Sim;Sim;Sim;Nao;Sim, em um evento nacional;Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;3;;3;3;Nao;2;0;;
Quimica em Rede Nacional PROFQUI;Menos de 4 anos;5;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;5;5;4;3;3;3;5;3;4;1;4;Sim;5;Sociedade, Agencias Governamentais, Ensino basico;Ate o momento nao foi necessario. Os recursos disponiveis foram suficientes.;Esta questao nao se aplica de forma completa ao programa, uma vez que o objetivo principal e a melhoria na formacao de professores para o ensino basico. e um mestrado profissionalizante, para professores de ensino medio, atuando em escolas publicas. Os projetos sao voltados para essa finalidade. Entretanto, e possivel contribuir com a producao de conhecimento cientifico aplicado ao ensino de quimica e de ciencias. E isto ja esta ocorrendo.;Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;0;Nao;;;Nao;5;5;O programa e muito bem coordenado e tem estudantes bem motivados. O PROFQUI difere dos demais programas de pos-graduacao da UFV por ser um mestrado profissionalizante. Assim, varias questoes deste formulario nao se adequam a esse tipo de programa de pos-graduacao. ;
Manejo e Conservacao de Ecossistemas Naturais e Agrarios;Entre 4 e 12 anos;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;4;1;4;Sem condicoes de avaliar;Sem condicoes de avaliar;5;3;4;4;3;4;4;3;3;5;Nao;;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;;Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;5;4;Sim;4;4;;
